Investor Name,Geography,Check Size,Stages,Investment Thesis,Fake Email
GPI Global Partners In... Other,Algeria Argentina +55,$5k to $30M,1. Idea or Patent 3. Early Revenue +4,We invest in startups and established businesses in a sector-agnostic mandate and bring it under our strict due...,invest@gpiglobalpartnersinother.com
Michael Kim Solo angel,USA Singapore +2,$10k to $100k,6. Pre-IPO,"I invest in startups that augment an individual's productivity, be it by augmenting their ability to get things done on...",michael@kim.com
Compass Digital Ventur... Corporate VC,Canada USA,$1M to $5M,2. Prototype 3. Early Revenue +1,"We invest in food, retail tech, and hospitality tech with a product that is ready to pilot in client facing...",contact@compassdigitalventurcorporatevc.com
Buko Ventures VC firm,Philippines Vietnam +9,$10k to $1M,3. Early Revenue 2. Prototype +2,"We invest in financial inclusion (fintech), such as credit, credit worthiness systems, banking, insurance, etc.  We...",buko@hotmail.com
Babak Kia Solo angel,USA UAE,$25k to $100k,1. Idea or Patent 3. Early Revenue +1,"I invest in founders focused on applying technology to a business solution, who either have a lot of proof on the...",babak@kia.com
Identity Ventures VC firm,Austria Belgium +27,$300k to $3M,3. Early Revenue 4. Scaling +1,We invest in early-stage companies with LGBTQ+ representation in leadership (founder or C-level positions). Research...,identity@gmail.com
Link Capital VC firm,Norway Sweden +6,$5k to $5M,1. Idea or Patent 2. Prototype +4,"We invest in Nordic tech companies, with a special focus on clean tech, climate tech and software. Our investments...",link@hotmail.com
Samsung Next Corporate VC,USA Israel +1,$100k to $500k,3. Early Revenue 5. Growth +2,"We invest in early-stage innovation is software products and services with an emphasis on the right team, market...",invest@samsungnextcorporatevc.com
True. VC firm,USA UK +5,$125k to $3M,3. Early Revenue 4. Scaling,We invest in and support early-stage breakthrough brands and technologies building for the future of...,info@true.com
Genoa Ventures VC firm,USA UK +2,$1M to $5M,2. Prototype 3. Early Revenue +1,"We invest in life sciences research tools, diagnostics, synthetic biology, industrial biotech, consumer bio and...",genoa@hotmail.com
Palm Drive Capital VC firm,Nigeria Colombia +5,$200k to $10M,3. Early Revenue 4. Scaling,We invest in software companies that solve niche problems for huge markets in developed economies or companies...,info@palmdrive.com
Arctern Ventures VC firm,Canada USA +32,$1M to $5M,2. Prototype 3. Early Revenue,"We invest in venture-scale companies tackling climate change and sustainability (energy, mobility & logistics, foodtech...",team@arctern.com
Assured Asset Manageme... VC firm,Hong Kong USA +1,$1M to $10M,4. Scaling 5. Growth +1,We invest in Deep Tech startups across categories that are in a growth or later...,team@assuredassetmanageme.com
Akash Sureka Solo angel,USA India +6,$1k to $10k,1. Idea or Patent 2. Prototype +2,"I invest in companies and founders who are going after Large market opportunities, Team, Differentiation, Product....",akash@sureka.com
South Central Ventures VC firm,Albania Bosnia-H +4,$500k to $5M,3. Early Revenue 4. Scaling,We invest in CEE B2B tech companies in seed and Series A stage.,team@southcentral.com
Fluent Ventures VC firm,USA Canada +15,$200k to $2M,3. Early Revenue 4. Scaling +1,"We invest in fintech, commerce and health. Geographic Arbitrage: we look to invest in similar business models across...",info@fluent.com
Kenneth Chung Solo angel,China Hong Kong +9,$5k to $1M,3. Early Revenue 4. Scaling +1,I invest in companies with revenue track records in Asia with own funds. Open to syndicate/club deals for larger cheque...,kenneth@chung.com
Graduate Entrepreneur VC firm,Netherlands,$50k to $2.5M,1. Idea or Patent 2. Prototype +3,"We invest in startups with at least one founder from the TU Delft, Erasmus University Rotterdam or the Erasmus MC....",graduateentrepreneur@gmail.com
Touch Ventures VC firm,Australia USA +3,$5M to $15M,4. Scaling 5. Growth +1,We invest in retailtech and fintech businesses with proven revenue traction where they may benefit from Afterpay's...,info@touch.com
Gilles De Moor Solo angel,Austria Belgium +9,$10k to $200k,1. Idea or Patent 2. Prototype +1,"I invest in Pre-seed, seed stage - Urban/Active Mobility lies in our expertise, but we are open to other businesses as...",gilles@demoor.com
"Digital-Hub srl Incubator, Accelerator",Italy,$20k to $20k,1. Idea or Patent 2. Prototype +1,"We invest in the Italian projects deemed most promising.

We offer a training program to provide you with skills and...",team@digitalhubsrlubatoraccelerator.com
Edison Partners (US) PE fund,USA,$10M to $30M,5. Growth 4. Scaling,"We invest in high growth companies in enterprise solutions, financial technology, and healthcare IT sectors located...",team@edisonpartnersuspefund.com
Schenker Ventures Corporate VC,Germany,$500k to $5M,3. Early Revenue 4. Scaling +1,"We invest in B2B SaaS from seed to series B+. Typically, with ticket sizes between €500,000 and €5...",info@schenkercorporatevc.com
Hibernia Private Other,UK Ireland +1,$500k to $5M,3. Early Revenue 4. Scaling +1,"We invest in all sectors, with a slight preference to tech plays.",info@hiberniaprivateother.com
Crescent Fund VC firm,USA,$40k to $40k,1. Idea or Patent 2. Prototype,We invest in student founders at Southern California universities.,team@crescentfund.com
AIP Seed VC VC firm,Poland,$50k to $400k,1. Idea or Patent 2. Prototype +1,We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are...,hello@aipseedvc.com
Cadence Growth Capital... PE fund,Germany Austria +1,$10M to $90M,5. Growth 4. Scaling +1,"We invest in:
• Proven, tech-driven business models
• Based within the DACH region, though open to exceptions
•...",info@cadencegrowthpefund.com
Inventure VC firm,Finland Norway +5,$400k to $4M,3. Early Revenue 4. Scaling,"We invest in Seed and Series A throughout the Nordics and Baltics, with a portfolio ranging from deep tech companies...",contact@inventure.com
Lukkap Venture Lab VC firm,Spain,$50k to $150k,1. Idea or Patent 2. Prototype +1,We invest in early stage startups that have already developed a product with a market fit. Our pre-money valuation...,team@lukkapventurelab.com
Square Peg VC firm,Australia Israel +4,$1M to $15M,3. Early Revenue 4. Scaling +2,"We invest in exceptional founders across Australia, Israel and Southeast Asia",invest@squarepeg.com
1982 Ventures VC firm,Indonesia Singapore +9,$250k to $500k,1. Idea or Patent 2. Prototype +1,"We invest in seed stage ( first money ) fintech, regtech, insurtech, SaaS for finance, payments startups in Southeast...",1982@hotmail.com
Omnes VC firm,Belgium Austria +10,$4M to $12M,3. Early Revenue 4. Scaling,We invest in European deeptech companies. We typically invest 3 to 5M€ in 6 to 20M€ round. Deeptech companies (ie...,invest@omnes.com
Taram Capital VC firm,Chile Colombia +4,$500k to $4M,3. Early Revenue 4. Scaling,"We invest in early-stage B2B recurrent revenue companies with $0.5M - $4M ARR, primarily vertical SaaS implementing...",taram@gmail.com
Verge Healthtech Fund VC firm,Israel USA +9,$250k to $500k,2. Prototype,"We invest in technology-centric solutions that expand access, quality and efficiency to healthcare across emerging...",contact@vergehealthtechfund.com
Signal Peak Ventures VC firm,USA UAE,$500k to $8M,3. Early Revenue 4. Scaling,"We invest in B2B SaaS, enterprise software, cloud computing, data analytics, cybersecurity, healthcare IT, fintech,...",team@signalpeak.com
Sinan Guler Solo angel,Canada USA +26,$5k to $50k,3. Early Revenue 4. Scaling +1,"I invest in startups, mainly looking at sports and entertainment vertical.",sinan@guler.com
RH Capital VC firm,USA,$250k to $1M,2. Prototype 3. Early Revenue +1,"We invest in early-stage high-impact companies that are driving innovation, access, and equity across the women's...",contact@rh.com
SID Venture Partners VC firm,USA Estonia +4,$100k to $400k,2. Prototype 3. Early Revenue +1,We invest in global software companies built by Ukrainian and CEE founders. We are mostly an industry-agnostic firm...,info@sidventurepartners.com
Stan Rymkiewicz Solo angel,USA,$1k to $10k,1. Idea or Patent 2. Prototype +2,I invest in B2B SaaS,stan@rymkiewicz.com
Committed Capital VC firm,UK,$1.5M to $6M,4. Scaling 5. Growth,"We invest in Saas and B2B based software companies that solve a problem. We are sector agnostic, and have investee...",invest@committed.com
Perscitus LLP Other,UK,$250k to $2.5M,2. Prototype 3. Early Revenue +1,We invest in opportunities with near term milestones and clear technology advantages backed by strong teams and...,info@perscitusllpother.com
BT Growth Capital VC firm,Canada USA +2,$10k to $75k,1. Idea or Patent 2. Prototype +1,We invest in early stage start-ups,btgrowth@hotmail.com
Insurtech Capital VC firm,France,$100k to $2M,3. Early Revenue 4. Scaling +1,"We invest mainly in Insurtech, WealthTech, PropTech...",hello@insurtech.com
Autonom Ventures Family office,Romania,$5k to $500k,5. Growth 4. Scaling +2,"We invest in DevOps, Fintech, Mobility, EV Mobility startups",hello@autonom.com
"Infinium Venture Studi... Incubator, Accelerator",USA,$10k to $900k,1. Idea or Patent 2. Prototype +1,"We create startups in-house with dedicated resources. From validation ideas early, building products & bringing...",infiniumventurestudiubatoraccelerator@gmail.com
11 Tribes Ventures VC firm,USA,$100k to $300k,2. Prototype 3. Early Revenue +1,We invest in purpose driven entrepreneurs that are creating category defining technologies.  We are multi-sector...,11tribes@hotmail.com
Studio Sia Partners VC firm,France,$300k to $700k,3. Early Revenue 4. Scaling,"We invest in B2B tech startups with a strong ambition for French and international development, the capacity to address...",contact@studiosiapartners.com
70V VC firm,Lithuania Latvia +4,$50k to $300k,2. Prototype 3. Early Revenue +1,We invest in B2B SaaS / Enterprise software companies with ACV > 2kEUR and outbound sales strategies. Early revenue is...,contact@70v.com
Fen Ventures VC firm,Argentina Chile +5,$300k to $1M,1. Idea or Patent 2. Prototype +2,We invest in entrepreneurs who offer technology-based solutions with growth potential and the ability to scale...,info@fen.com
Venga Ventures VC firm,Austria Germany +5,$1M to $5M,3. Early Revenue,"We invest in biotech, specifically therapeutics, synbio, manufacturing and R&D tools companies. Sweet spot: seed...",invest@venga.com
Gilgamesh Ventures VC firm,Argentina Brazil +7,$150k to $500k,1. Idea or Patent 2. Prototype +1,We invest in fintech at seed stage in the Americas.,invest@gilgamesh.com
Founders Capital Angel network,UK,$50k to $200k,2. Prototype 3. Early Revenue +2,"We invest in FinTech, AgriTech, ClimateTech, Payments, AI and SaaS companies with £200k+...",contact@founders.com
Yolo Investments VC firm,USA,$2M to $5M,4. Scaling 5. Growth,"We invest in the gaming industry and its supporting ecosystem.

ᐧOperators
ᐧSportsbooks
ᐧSuppliers
ᐧPayment...",contact@yoloinvestments.com
Standards Australia Fu... Corporate VC,Australia New Zealand +3,$320k to $3.2M,2. Prototype 3. Early Revenue +1,"We invest in businesses that meet one of the following criteria:
• Ingesting and retailing standards materials
•...",team@standardsaustraliafucorporatevc.com
Can Gerling Solo angel,USA Germany,$5k to $50k,1. Idea or Patent 2. Prototype +1,"I invest in people that have a clear vision.
I like to be very early and...",can@gerling.com
Pear VC VC firm,USA UK +16,$150k to $4M,1. Idea or Patent 2. Prototype +2,"We invest in pre-seed, seed, and series A companies across industries.",team@pearvc.com
Creative UK Corporate VC,UK,$300k to $600k,3. Early Revenue 4. Scaling,"We invest in early-stage post-revenue businesses operating in the creative industries, from content, to distribution,...",invest@creativeukcorporatevc.com
FutureSight Startup studio,USA Canada,$100k to $400k,1. Idea or Patent,We invest in values driven founders focused on B2B software opportunities at the idea...,team@futuresightstartupstudio.com
CP Ventures VC firm,Australia USA +6,$100k to $500k,3. Early Revenue 1. Idea or Patent +1,"We invest globally in early stage, highly scalable, breakthrough technology...",cp@hotmail.com
Hoverink Venture Fund ... VC firm,USA,$50k to $300k,5. Growth,We invest in therapeutics mostly. We are a  generalist perspective Fund. We are Syndicate friendly. We seek Pre-seed...,hello@hoverinkventurefund.com
Obratori Corporate VC,Australia Belgium +23,$100k to $300k,2. Prototype 3. Early Revenue,"We invest in early stage startups. As pre-seed | seed specialists, we support responsible founders with ambitious...",invest@obratoricorporatevc.com
Thinkuvate Ventures Angel network,India Singapore +1,$200k to $5M,3. Early Revenue 4. Scaling,"We invest in post-revenue companies. Sector Agnostic, Tech and Tech Enabled...",thinkuvate@gmail.com
360 Venture Collective VC firm,USA,$50k to $500k,1. Idea or Patent 2. Prototype +1,We invest in & accelerate pre-seed & seed stage companies formed in the US & led by historically underestimated...,invest@360venturecollective.com
"Lair East Labs Incubator, Accelerator",Canada USA,$75k to $150k,1. Idea or Patent 2. Prototype +1,"We invest in three types of founder profiles: 1) industry veterans & domain experts, 2) DeepTech pioneers, and 3)...",info@laireastlabsubatoraccelerator.com
Companisto Investor Ne... Angel network,Germany,$750k to $8M,3. Early Revenue 2. Prototype +3,"We invest in technology and entrepreneurial teams from Germany, Austria and...",info@companistoinvestorne.com
Faber VC firm,Austria Belgium +22,$100k to $2M,1. Idea or Patent 2. Prototype +1,"We invest in early stage B2B, deep-tech focused teams, who want to drive digital transformation (with AI/ Data) and...",contact@faber.com
Nikola Jankovic Solo angel,Canada USA,$1k to $500k,1. Idea or Patent 2. Prototype +1,"I invest in startups related to the payments industry, either side of card processing stack (acquirer and...",nikola@jankovic.com
Wavemaker Partners VC firm,Singapore New Zealand +9,$100k to $3M,3. Early Revenue 2. Prototype,We invest in enterprise and deep technology companies. It has invested in more than 150 companies in the region with...,wavemakerpartners@gmail.com
David Graham Solo angel,South Africa UK,$5k to $25k,1. Idea or Patent 2. Prototype +1,I invest in early revenue tech startups that have identified a clear and scalable problem. Your solution should be...,david@graham.com
De Eik Family office,Belgium,$1M to $20M,4. Scaling 5. Growth +1,"We invest in directly and indirectly through VC/PE funds in growth companies active in the sectors of technology, food...",invest@deeik.com
TA Ventures VC firm,Canada USA +39,$100k to $500k,1. Idea or Patent 2. Prototype +3,"We invest in startups in Europe and North America at (Pre-)Seed and Series A, alongside high-profile co-investors,...",ta@hotmail.com
Mosaic Ventures VC firm,Denmark France +7,$1M to $10M,2. Prototype 3. Early Revenue +1,"We invest in European founders, writing checks from $1M-10M. Core themes: machine intelligence; fintech / crypto;...",invest@mosaic.com
Andreas Mihalovits Solo angel,Canada USA +36,$50k to $300k,3. Early Revenue 4. Scaling,I invest in any sector as long as it is not hardware related. I prefer subscription based business models with at least...,andreas@mihalovits.com
Essence VC VC firm,USA Australia +13,$100k to $250k,1. Idea or Patent 2. Prototype +2,We invest in developer tools and data infrastructure companies at the earliest stages (pre-seed to...,essencevc@hotmail.com
True Growth Capital Angel network,Germany UK +11,$50k to $1M,1. Idea or Patent 2. Prototype +4,"We invest in digital platforms, d2c, network models, software, social media, a bit of Saas. 

Our investment hypothesis...",truegrowth@gmail.com
Black Diamond Ventures VC firm,USA,$25k to $5M,1. Idea or Patent 3. Early Revenue +2,We will invest in companies raising Series B and growth capital in our focus sectors – deep tech and biotech –...,invest@blackdiamond.com
Heavybit VC firm,Canada USA +8,$500k to $5M,2. Prototype 3. Early Revenue,"We invest in developer tools, cloud infrastructure and APIs from Pre-Seed through Series A and across the world. We are...",hello@heavybit.com
Cathay AfricInvest Inn... VC firm,South Africa Nigeria +6,$1M to $10M,4. Scaling 5. Growth +1,We invest in early to growth-stage startups based in or focused on Africa that are ready to scale and make a...,hello@cathayafricinvestinn.com
Isai VC firm,France,$100k to $3M,3. Early Revenue 4. Scaling +2,"We invest in digital startups (B2C & B2B) with at least one French founder in Europe and in the US, from Pre-Seed to...",team@isai.com
IW Capital VC firm,UK,$2M to $6M,4. Scaling 5. Growth,"We invest in all industries. We are sector agnostic but our key criteria for investment opportunities is:

1. Minimum...",iw@gmail.com
NEON Adventures Family office,UK USA,$25k to $250k,3. Early Revenue 4. Scaling,"We invest in consumer internet companies with early traction, selling mainly in the UK or US. Three markets we like are...",neonad@gmail.com
EQx Fund VC firm,USA Canada,$50k to $100k,2. Prototype 3. Early Revenue +1,We invest in technology and life science startups with incredible management teams known as leaders in their field...,eqxfund@gmail.com
Venture Inc VC firm,USA UK +3,$100k to $1M,2. Prototype 3. Early Revenue,We invest in software startups with no or early revenue,venture@gmail.com
Louis Carter Solo angel,USA,$10k to $200k,3. Early Revenue 4. Scaling +1,"I invest in HRTech, Insurtech, Fintech",louis@carter.com
Hummingbird Capital Pa... PE fund,India Poland +9,$50k to $3M,3. Early Revenue 4. Scaling +2,We invest in DeFi (operating on public blockchain networks) when their ARR – annual recurring revenue normalized on...,hummingbirdpapefund@hotmail.com
Velocity Partners VC firm,Greece,$300k to $1M,3. Early Revenue 2. Prototype,"We invest at pre-seed / seed stage, across sectors, in market pull companies with global focus led by Greek founders....",hello@velocitypartners.com
Foundation Ventures VC firm,Egypt Jordan +1,$100k to $500k,1. Idea or Patent 2. Prototype +1,We invest in tech enabled sector agnostic startups. Foundation Ventures is an early-stage venture capital fund focused...,team@foundation.com
LUMO Labs VC firm,Austria Belgium +13,$500k to $3M,1. Idea or Patent 2. Prototype +1,"We invest in European (pre-)seed software startups (i.e., AI/Data, IoT, Blockchain, XR, Digital security) across 4 SDGs...",lumolabs@hotmail.com
Redwood Ventures VC firm,Mexico USA +4,$300k to $1.5M,3. Early Revenue 4. Scaling +1,"We invest in startups that achieve with at least one of these axes:  
- Validated and iterated product or service. 
-...",redwood@hotmail.com
Netopia Ventures VC firm,Romania Bulgaria +6,$20k to $200k,1. Idea or Patent 2. Prototype +1,"We invest in Fintech, Crypto & Web3, DeepTech",team@netopia.com
Freesearch Ventures VC firm,USA,$200k to $750k,4. Scaling 3. Early Revenue,"We invest from $300K to $1M in late Seed and early Series A startups with focus on Fintech, AI, SaaS, E-commerce,...",freesearch@gmail.com
"BK-XL Incubator, Accelerator",USA,$125k to $500k,2. Prototype 3. Early Revenue +1,"BK-XL is an early-stage, industry-agnostic startup accelerator program focused on supporting underrepresented founders...",bkxlubatoraccelerator@hotmail.com
Countdown Capital VC firm,USA,$200k to $600k,1. Idea or Patent 2. Prototype,We invest in founders rebuilding the American industrial base at the earliest stages (pre-seed and...,countdown@hotmail.com
High Flyers Capital VC firm,France,$250k to $350k,3. Early Revenue,"We invest in FR-based food & foodtech companies (Brands & Products, Delivery, Digitization, Green Transition,...",team@highflyers.com
Complear Startup studio,Portugal Spain +1,$5k to $40k,2. Prototype 1. Idea or Patent,"We support Digital Health companies to get faster into the market as medical devices, with holistic expertise and...",hello@complearstartupstudio.com
Alain Bourissou Solo angel,Belgium Denmark +4,$5k to $10M,3. Early Revenue 4. Scaling +1,"I invest in particular in Energy Efficiency, Renewable energies, IT, industry,...",alain@bourissou.com
Steph Test Nasser Solo angel,Angola Austria +1,$1k to $50k,2. Prototype 3. Early Revenue,I invest in nothing. This is a test profile. Please do not submit decks.,steph@testnasser.com
Global Health Impact F... VC firm,USA Canada +1,$250k to $1.5M,2. Prototype 3. Early Revenue +3,"We invest in healthcare and medical startups, including medical technology and digital health, across all stages...",info@globalhealthimpactf.com
Reciprocal Studio Startup studio,Chile Colombia +1,$100k to $250k,1. Idea or Patent 2. Prototype,"We build blue economy, agroforestry and clean industry focused start-ups.",info@reciprocalstudiostartupstudio.com
Real Ventures VC firm,Canada,$500k to $4M,2. Prototype 3. Early Revenue +2,"We invest in daring entrepreneurs with the ambition to create successful, global...",team@real.com
Magnivia Ventures VC firm,Argentina Brazil +15,$250k to $750k,3. Early Revenue 4. Scaling +1,We invest in cross-border enterprise startups with strong IP doing  $250K+ ARR,contact@magnivia.com
Vendep Capital VC firm,Finland Sweden +4,$600k to $1.2M,4. Scaling,We invest in SaaS startups across Nordics and Baltics.,vendep@hotmail.com
JME Ventures VC firm,Spain,$100k to $3M,3. Early Revenue 2. Prototype,We invest in Spain-based seed stage companies.,info@jme.com
Scale Venture Partners VC firm,USA Israel +7,$5M to $30M,3. Early Revenue,"We  invest in intelligent business software in markets like: DataOps, DevOps, Digital Health, Fintech, Open Source,...",hello@scaleventurepartners.com
Ecliptic Capital VC firm,USA,$500k to $5M,3. Early Revenue 4. Scaling +1,"We invest in technology solutions that can make a global impact in the healthcare, security, and energy transition...",hello@ecliptic.com
Victor Fernandez Solo angel,Mexico,$25k to $200k,2. Prototype 3. Early Revenue,I invest in early revenue companies solving real pain points for businesses and consumers. I invest in pre-seed and...,victor@fernandez.com
Day One Capital VC firm,Hungary Poland +14,$300k to $1.8M,3. Early Revenue 4. Scaling,"We invest in CEE founders with global ambitions, primarily in the B2B software...",invest@dayone.com
Redstone VC firm,Germany Austria +15,$10k to $10M,2. Prototype 3. Early Revenue +1,We invest in European early-stage digital technology companies that have found product-market fit and demonstrate early...,contact@redstone.com
Pjotr van Schothorst Solo angel,Belgium Denmark +7,$100k to $700k,2. Prototype 3. Early Revenue,"I invest in Deep tech, climate tech, early stage (seed/pre-seed).
Tickets size EUR...",pjotr@vanschothorst.com
Shapr Ventures VC firm,France,$350k to $1.1M,3. Early Revenue 2. Prototype +1,We invest in early-stage tech companies legally based in France. We are sector agnostic and write cheques ranging from...,team@shapr.com
G+D Ventures VC firm,Austria Belgium +24,$500k to $3M,2. Prototype 3. Early Revenue +1,We invest in European TrustTech startups developing solutions for greater security and trust in the digital world –...,gd@gmail.com
Alfabeat VC firm,Poland Estonia +9,$250k to $1M,3. Early Revenue,We invest in seed Enterprise Software companies from Central and Eastern Europe  with a proven track-record of helping...,contact@alfabeat.com
Joao Diogo Solo angel,USA Portugal +1,$25k to $100k,2. Prototype 3. Early Revenue,I invest in Deep Tech SaaS with Product Led Growth potential,joao@diogo.com
Better Tomorrow Ventur... VC firm,Mexico Indonesia +9,$250k to $2M,1. Idea or Patent 2. Prototype +1,We invest in seed-stage Fintech,bettertomorrowventur@hotmail.com
Awesome Ventures VC firm,USA UK,$25k to $250k,2. Prototype 3. Early Revenue +1,We invest in US and UK-based B2B technology businesses from the Seed to Series A stage. Our key focus areas are...,awesome@gmail.com
Pratithi Investments VC firm,India Singapore +1,$4M to $10M,4. Scaling 5. Growth,We invest in all sectors with other institution lead investors. We focus on great founders with great products and high...,team@pratithiinvestments.com
Wayra UK Corporate VC,USA Belgium +6,$100k to $6M,3. Early Revenue 4. Scaling,"We invest in Telecom, Sustainability, Gen AI, and B2B enterprise SaaS with £1M+ ARR and ideally have a telco use...",invest@wayraukcorporatevc.com
Masawa VC firm,Norway Sweden +47,$50k to $2M,2. Prototype 3. Early Revenue,We invest in founders revolutionizing the mental wellness landscape.,team@masawa.com
VentureFriends VC firm,Germany Spain +25,$500k to $2.5M,2. Prototype 3. Early Revenue +1,We invest in stellar teams building B2C and B2B SaaS startups.,contact@venturefriends.com
Baukunst VC firm,USA Canada +1,$500k to $1.5M,2. Prototype 3. Early Revenue,"We invest in ambitious companies at the frontiers of technology and design.

We are independent minded and invest with...",baukunst@hotmail.com
Alpha Partners VC firm,USA Canada +3,$3M to $10M,4. Scaling 5. Growth +1,"We invest in early-stage tech companies, preferably with over $5 million in annual revenue.

Alpha Partners is a...",alphapartners@hotmail.com
Elisabeth Zambelis Solo angel,Kenya South Africa +6,$1k to $25k,2. Prototype 3. Early Revenue,I invest in both deep-tech ventures and startups that present immediate market viability. My favourite sectors : health...,elisabeth@zambelis.com
Invest Blue Angel network,USA,$25k to $150k,2. Prototype 3. Early Revenue +1,We invest in pre-seed and seed stage startups that are either Kentucky based or have an affiliation to the University...,hello@investblue.com
Soma Ventures VC firm,Taiwan China +7,$50k to $250k,3. Early Revenue 2. Prototype,"We invest in $1B plus market opportunity.  Business model-scalable, solving a major pain point. Defensible Product -...",invest@soma.com
Aonia Ventures VC firm,France Canada +2,$150k to $300k,3. Early Revenue 2. Prototype +1,"We invest in tech companies all over the world, in early-stage with tickets from $150k to...",contact@aonia.com
Sandwater VC firm,Norway,$1M to $10M,3. Early Revenue 4. Scaling +1,We invest in ambitious companies to make an impact that matters.,team@sandwater.com
Upheaval Investments VC firm,USA Canada +4,$150k to $2M,3. Early Revenue 2. Prototype +2,We invest in briliant teams solving meaninful problems through deep tech...,hello@upheavalinvestments.com
SOSV VC firm,USA,$250k to $525k,1. Idea or Patent 2. Prototype,"We invest in pre-seed deep tech companies through one of our accelerators. Life sciences (synthetic biology, syn bio,...",sosv@gmail.com
Matr Ventures VC firm,Canada USA,$250k to $1M,3. Early Revenue 4. Scaling,"We invest in Underestimated founders: Black, Indigenous, LatinX, Persons of Colour, Women, 2SLGBTQ & Persons with...",hello@matr.com
3one4 Capital VC firm,India USA +1,$100k to $5M,2. Prototype 3. Early Revenue +1,"We invest in SaaS, Enterprise & SMB Automation, Fintech, Consumer Internet, and Digital Health, with a focus on areas...",contact@3one4.com
Vulpes Investment Mana... Family office,UK,$50k to $50M,3. Early Revenue 2. Prototype +1,"We invest in Biotech, Diagnostics",invest@vulpesinvestmentmana.com
Eagle Venture Fund VC firm,USA Germany +4,$250k to $5M,3. Early Revenue 2. Prototype,"We invest in Healthtech, Blockchain, DevOps, Fintech, Energy, Analytics, Edtech...",team@eagleventurefund.com
David Semmens Solo angel,USA UK,$1k to $50k,1. Idea or Patent,"I invest in FinTech, WealthTech,EdTech, & InsurTech, where I can leverage my industry expertise & network. I’m keen...",david@semmens.com
Future Wrk Ventures VC firm,Austria Denmark +7,$25k to $500k,1. Idea or Patent 2. Prototype +1,We invest in European pre-seed and seed stage companies building the Future of...,hello@futurewrk.com
Stephen Henesy Solo angel,USA UK,$25k to $100k,3. Early Revenue 4. Scaling +1,"I invest in SaaS, Proptech, Tech, MedTech",stephen@henesy.com
Greater Colorado Ventu... VC firm,USA,$250k to $750k,2. Prototype 3. Early Revenue +1,We invest in high-growth rural Colorado based companies.,team@greatercoloradoventu.com
United Ventures VC firm,Italy Switzerland +3,$2M to $20M,3. Early Revenue 4. Scaling +1,"We invest in European tech startups across all sectors, from early to growth stage. We seek the best entrepreneurs with...",contact@united.com
D Squared Capital Family office,UK Israel +1,$5M to $20M,3. Early Revenue 4. Scaling +2,We invest in growth stage businesses,hello@dsquared.com
Ethos Fund VC firm,USA Singapore +1,$100k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in startups building the future of learning, work, and play. We invest in founders who can leverage the...",team@ethosfund.com
Ligo Partners Family office,USA UK,$100k to $20M,4. Scaling 3. Early Revenue +2,"We invest in Grentech, deeptech, Fintech, saas, cleantech, etc agnostic",info@ligopartners.com
Mava Ventures Family office,USA,$100k to $250k,2. Prototype 3. Early Revenue +1,"We invest in early-stage (angel, pre-seed, seed) US-based B2B SaaS and B2B FinTech...",hello@mava.com
DVC Angel network,USA,$100k to $500k,4. Scaling 3. Early Revenue +2,"We invest in Fintech, IoT, web3, SaaS, B2B, Latam, Consumer, Health.",info@dvc.com
Octopus Ventures VC firm,UK,$750k to $15M,3. Early Revenue 2. Prototype +1,"We invest in the people, the ideas and the industries that will help change the world. Our investment team is built to...",info@octopus.com
Garden District Ventur... VC firm,Bangladesh Hong Kong +9,$100k to $500k,2. Prototype 3. Early Revenue +1,"We invest in companies that simplify daily life, boost livelihoods and commerce, and contribute to a more resilient...",info@gardendistrictventur.com
Alecla7 Family office,Argentina Brazil +14,$100k to $1M,1. Idea or Patent 2. Prototype +4,"We invest in VC opportunities globally, we are geography and industry agnostic and our sweet spot is Pre-seed to Series...",alecla7@hotmail.com
Talent Venture Group VC firm,Sweden Norway +8,$25k to $500k,1. Idea or Patent 2. Prototype +1,We invest in HR & Talent Tech companies,talentventure@hotmail.com
VujaDe Ventures VC firm,Chile Peru +7,$100k to $500k,1. Idea or Patent 2. Prototype,"We invest in pre-seed agrotech and fintech statups in LATAM/US/EUROPE, to help resolve world hunger....",invest@vujade.com
Patrimon Cube Angel network,Italy,$40k to $120k,2. Prototype 3. Early Revenue,"We invest in B2B Saas, AI deep tech, Fintech and Blockchain",hello@patrimoncube.com
Ecostar Capital Angel network,USA,$25k to $500k,3. Early Revenue 2. Prototype +1,"We invest in Fintech, ConsumerTech, CleanTech, EdTech, SaaS",invest@ecostar.com
Save the Children Glob... VC firm,Australia Kenya +10,$150k to $500k,4. Scaling 5. Growth +1,"We invest in scalable solutions (SaaS, fintech, healthtech, agtech, regtech) startups addressing the problems and...",invest@savethechildrenglob.com
LT Capital VC firm,Poland Lithuania +4,$300k to $300k,1. Idea or Patent 2. Prototype +1,We invest in great teams that build their market advantage based on a technological component in sectors that are the...,lt@hotmail.com
Mindset Ventures VC firm,USA Israel +1,$500k to $3M,3. Early Revenue 4. Scaling,"We generally invest in B2B SaaS companies based out of the US or Israel, mainly focused on fintech, enterprise...",team@mindset.com
LOI Venture VC firm,Canada USA,$75k to $300k,2. Prototype 3. Early Revenue +1,"We invest in early-stage startups in consumer, enterprise, deep tech, fintech, impact, hardware and software. LOI...",hello@loiventure.com
